name,lat,lon,population,households,housing
東京都千代田区,35.69389,139.75361,52748,29684,33670
東京都中央区,35.67083,139.77222,129640,74910,92260
東京都港区,35.65806,139.75167,232786,133298,132910
東京都新宿区,35.69389,139.70361,320996,198302,234960
東京都文京区,35.70806,139.75222,202123,109878,128940
東京都台東区,35.71278,139.78,185904,106433,112730
東京都墨田区,35.71056,139.80167,253003,134564,140210
東京都江東区,35.67306,139.81722,481031,241813,255910
東京都品川区,35.60889,139.73028,366852,201522,227590
東京都目黒区,35.64139,139.69833,266070,148241,153510
東京都大田区,35.56139,139.71611,698367,361857,416610
東京都世田谷区,35.64611,139.65306,862840,449771,505840
東京都渋谷区,35.664145,139.698504,212932,128349,142950
東京都中野区,35.7075,139.66389,312303,186904,210420
東京都杉並区,35.69944,139.63639,541253,300905,340730
東京都豊島区,35.72611,139.71667,269463,161713,192660
東京都北区,35.75278,139.73361,333406,179169,195380
東京都荒川区,35.73611,139.78333,206749,106082,108790
東京都板橋区,35.75111,139.70944,537668,280567,305370
東京都練馬区,35.73556,139.65222,709609,345379,380910
東京都足立区,35.775,139.80472,669592,318045,362950
東京都葛飾区,35.74333,139.84722,446612,213977,224480
東京都江戸川区,35.70667,139.86833,674944,317351,346710
北九州市門司区,33.94111,130.95972,105533,51447,53350
北九州市若松区,33.90556,130.81111,85951,39499,38670
北九州市戸畑区,33.89333,130.82972,60179,29878,32570
北九州市小倉北区,33.88083,130.87361,181337,97907,106710
北九州市小倉南区,33.84639,130.88472,217272,98694,99310
北九州市八幡東区,33.86361,130.81194,71816,36125,38540
北九州市八幡西区,33.86639,130.76417,260675,119992,127470
